"","icpsr","yearmonth","monthamount","monthdonors"
"1",1366,"2009Y1",0,0
"2",1366,"2009Y10",0,0
"3",1366,"2009Y11",0,0
"4",1366,"2009Y12",0,0
"5",1366,"2009Y2",0,0
"6",1366,"2009Y3",0,0
"7",1366,"2009Y4",0,0
"8",1366,"2009Y5",0,0
"9",1366,"2009Y6",0,0
"10",1366,"2009Y7",0,0
"11",1366,"2009Y8",0,0
"12",1366,"2009Y9",0,0
"13",1366,"2010Y1",0,0
"14",1366,"2010Y10",0,0
"15",1366,"2010Y11",0,0
"16",1366,"2010Y12",0,0
"17",1366,"2010Y2",0,0
"18",1366,"2010Y3",0,0
"19",1366,"2010Y4",0,0
"20",1366,"2010Y5",0,0
"21",1366,"2010Y6",0,0
"22",1366,"2010Y7",0,0
"23",1366,"2010Y8",0,0
"24",1366,"2010Y9",0,0
"25",2605,"2009Y1",2000,1
"26",2605,"2009Y10",0,0
"27",2605,"2009Y11",500,1
"28",2605,"2009Y12",500,1
"29",2605,"2009Y2",0,0
"30",2605,"2009Y3",30650,31
"31",2605,"2009Y4",2000,2
"32",2605,"2009Y5",0,0
"33",2605,"2009Y6",1000,1
"34",2605,"2009Y7",7000,8
"35",2605,"2009Y8",2000,2
"36",2605,"2009Y9",20000,24
"37",2605,"2010Y1",0,0
"38",2605,"2010Y10",132825,152
"39",2605,"2010Y11",7850,9
"40",2605,"2010Y12",5400,3
"41",2605,"2010Y2",0,0
"42",2605,"2010Y3",36850,46
"43",2605,"2010Y4",11950,15
"44",2605,"2010Y5",27350,31
"45",2605,"2010Y6",91500,125
"46",2605,"2010Y7",21800,32
"47",2605,"2010Y8",17300,26
"48",2605,"2010Y9",118405,138
"49",2605,"2011Y1",8900,9
"50",2605,"2011Y10",15300,23
"51",2605,"2011Y11",2250,6
"52",2605,"2011Y12",6500,9
"53",2605,"2011Y2",9000,10
"54",2605,"2011Y3",9916,12
"55",2605,"2011Y4",2000,2
"56",2605,"2011Y5",8750,14
"57",2605,"2011Y6",10500,13
"58",2605,"2011Y7",6300,8
"59",2605,"2011Y8",500,1
"60",2605,"2011Y9",17250,34
"61",2605,"2012Y1",2000,2
"62",2605,"2012Y10",52000,82
"63",2605,"2012Y11",11000,12
"64",2605,"2012Y12",0,0
"65",2605,"2012Y2",2500,4
"66",2605,"2012Y3",9500,14
"67",2605,"2012Y4",3000,5
"68",2605,"2012Y5",11500,9
"69",2605,"2012Y6",92100,114
"70",2605,"2012Y7",9500,14
"71",2605,"2012Y8",5750,8
"72",2605,"2012Y9",35300,71
"73",2605,"2013Y1",0,0
"74",2605,"2013Y10",7600,8
"75",2605,"2013Y11",1400,2
"76",2605,"2013Y12",500,1
"77",2605,"2013Y2",500,1
"78",2605,"2013Y3",2500,1
"79",2605,"2013Y4",3000,4
"80",2605,"2013Y5",800,2
"81",2605,"2013Y6",4725,10
"82",2605,"2013Y7",12150,31
"83",2605,"2013Y8",4800,14
"84",2605,"2013Y9",1000,2
"85",2605,"2014Y1",0,0
"86",2605,"2014Y10",1000,1
"87",2605,"2014Y11",0,0
"88",2605,"2014Y12",0,0
"89",2605,"2014Y2",1000,1
"90",2605,"2014Y3",200,1
"91",2605,"2014Y4",500,1
"92",2605,"2014Y5",0,0
"93",2605,"2014Y6",0,0
"94",2605,"2014Y7",0,0
"95",2605,"2014Y8",0,0
"96",2605,"2014Y9",0,0
"97",4812,"2009Y1",12550,15
"98",4812,"2009Y10",72450,61
"99",4812,"2009Y11",126609,150
"100",4812,"2009Y12",29143,36
"101",4812,"2009Y2",131580,99
"102",4812,"2009Y3",202000,159
"103",4812,"2009Y4",44050,58
"104",4812,"2009Y5",51200,53
"105",4812,"2009Y6",235501,205
"106",4812,"2009Y7",426000,320
"107",4812,"2009Y8",628790,467
"108",4812,"2009Y9",61550,46
"109",4812,"2010Y1",40050,107
"110",4812,"2010Y10",39050,37
"111",4812,"2010Y11",750,3
"112",4812,"2010Y12",500,1
"113",4812,"2010Y2",248115,542
"114",4812,"2010Y3",60250,67
"115",4812,"2010Y4",38050,31
"116",4812,"2010Y5",19700,20
"117",4812,"2010Y6",44400,43
"118",4812,"2010Y7",11600,10
"119",4812,"2010Y8",4200,9
"120",4812,"2010Y9",22900,18
"121",4812,"2011Y1",1000,1
"122",4812,"2011Y10",5500,6
"123",4812,"2011Y11",5500,5
"124",4812,"2011Y12",1000,1
"125",4812,"2011Y2",210,1
"126",4812,"2011Y3",0,0
"127",4812,"2011Y4",0,0
"128",4812,"2011Y5",0,0
"129",4812,"2011Y6",0,0
"130",4812,"2011Y7",0,0
"131",4812,"2011Y8",0,0
"132",4812,"2011Y9",0,0
"133",4812,"2012Y1",0,0
"134",4812,"2012Y10",4500,5
"135",4812,"2012Y11",0,0
"136",4812,"2012Y12",0,0
"137",4812,"2012Y2",0,0
"138",4812,"2012Y3",4000,5
"139",4812,"2012Y4",0,0
"140",4812,"2012Y5",0,0
"141",4812,"2012Y6",0,0
"142",4812,"2012Y7",0,0
"143",4812,"2012Y8",1000,1
"144",4812,"2012Y9",2000,1
"145",10713,"2009Y1",3250,3
"146",10713,"2009Y10",50550,33
"147",10713,"2009Y11",41650,34
"148",10713,"2009Y12",7580,14
"149",10713,"2009Y2",14750,14
"150",10713,"2009Y3",35650,24
"151",10713,"2009Y4",6500,14
"152",10713,"2009Y5",12900,14
"153",10713,"2009Y6",21655,25
"154",10713,"2009Y7",23681,27
"155",10713,"2009Y8",4250,4
"156",10713,"2009Y9",43500,27
"157",10713,"2010Y1",29250,42
"158",10713,"2010Y10",68800,87
"159",10713,"2010Y11",11450,19
"160",10713,"2010Y12",900,2
"161",10713,"2010Y2",4000,7
"162",10713,"2010Y3",19450,22
"163",10713,"2010Y4",55153,49
"164",10713,"2010Y5",8900,8
"165",10713,"2010Y6",750,2
"166",10713,"2010Y7",2750,8
"167",10713,"2010Y8",4750,6
"168",10713,"2010Y9",11550,15
"169",10713,"2011Y1",0,0
"170",10713,"2011Y10",7750,13
"171",10713,"2011Y11",17775,30
"172",10713,"2011Y12",21903,20
"173",10713,"2011Y2",4750,6
"174",10713,"2011Y3",5818,10
"175",10713,"2011Y4",0,0
"176",10713,"2011Y5",9839,17
"177",10713,"2011Y6",32500,23
"178",10713,"2011Y7",500,1
"179",10713,"2011Y8",8765,12
"180",10713,"2011Y9",35549,41
"181",10713,"2012Y1",1000,1
"182",10713,"2012Y10",10900,10
"183",10713,"2012Y11",5650,7
"184",10713,"2012Y12",0,0
"185",10713,"2012Y2",7860,14
"186",10713,"2012Y3",12350,21
"187",10713,"2012Y4",1000,2
"188",10713,"2012Y5",11418,22
"189",10713,"2012Y6",16050,29
"190",10713,"2012Y7",68598,73
"191",10713,"2012Y8",64800,59
"192",10713,"2012Y9",3000,3
"193",10713,"2013Y1",0,0
"194",10713,"2013Y10",2250,4
"195",10713,"2013Y11",3000,2
"196",10713,"2013Y12",13900,8
"197",10713,"2013Y2",9950,9
"198",10713,"2013Y3",2000,4
"199",10713,"2013Y4",3000,4
"200",10713,"2013Y5",1000,1
"201",10713,"2013Y6",1000,1
"202",10713,"2013Y7",16200,22
"203",10713,"2013Y8",2250,4
"204",10713,"2013Y9",14600,21
"205",10713,"2014Y1",6700,6
