"","icpsr","FECcommittee","first","last","fullname","state","chamber","district","party","start","end","twitter","fold","num.tweets","done.handle.no.file","missing","tweets.svd","prop.tweets","has.alt","multiple.dist","alt.dist","dup.account","�..Numeric.counter.for.order.in.THOMAS.data.from.93rd...110th.Congresses","Legislator.name..as.given.in.THOMAS","Congress.number","Year.at.start.of.Congress","Two.letter.state.code","Congressional.district.number","X1...Democrat","Year.first.elected.to.House","X1...female","Percent.vote.received.to.enter.this.Congress","First.dimension.DW.NOMINATE.score","Size.of.House.delegation.from.member.s.state","X1..Speaker","X1...Chair.of.subcommittee..according.to.Almanac.of.American.Politics.and.Adler.W","Number.of.substantively.significant.bills.sponsored","Number.of.substantively.significant.bills.with.action.in.committee","Number.of.substantively.significant.bills.with.action.beyond.committee","Number.of.substantively.significant.bills.passed.House","Number.of.substantively.significant.bills.became.law","Number.of.substantive.bills.sponsored","Number.of.substantive.bills.with.action.in.committee","Number.of.substantive.bills.with.action.beyond.committee","Number.of.substantive.bills.passed.House","Number.of.substantive.bills.became.law","Number.of.commemorative.bills.sponsored","Number.of.commemorative.bills.with.action.in.committee","Number.of.commemorative.bills.with.action.beyond.committee","Number.of.commemorative.bills.passed.House","Number.of.commemorative.bills.became.law","X1...African.American","X1...Latino.a","votepct.squared","X1...Member.of.Appropriation..Rules..or.Ways.and.Means","X1...Chair..of.standing.committee.or.intellgence.homeland.sec.according.to.Stewar","X1...served.in.state.legislature","state_leg...state.legislature.professionalism","X1...majority.party.member","X1...Majority.party.leadership","X1...Minority.party.leadership","Absolute.distance.from.floor.median..DW.NOMINATE.","Absolute.distance.from.majority.party.median..DW.NOMINATE.","Total.bills.sponsored","Total.bills.with.action.in.committee","Total.bills.with.action.beyond.committee","Total.bills.passed.House","Total.bills.became.law","Legislative.Effectiveness.Score..1.5.10.","Lagged.LES","Seniority..number.of.terms.served.counting.current","benchmark","X1...Below..2...Meets..3...Exceeds","TotalInParty","RankInParty"
"1",2605,"C00002600","john","dingell","johndingell","MI","House",12,"D","1/5/1955","1/3/2015","johndingell",3,4762,0,0,1100,0.231,0,NA,NA,NA,8132,"Dingell, John",111,2009,"MI",15,1,1955,0,71,-0.414000005,15,0,0,3,1,3,3,2,13,2,2,0,0,1,1,1,1,1,0,0,5041,0,0,0,0,1,0,0,0.230000004,0.068000004,17,4,6,4,3,4.042333212,5.434091091,28,2.305018187,3,269,14
"2",10713,"C00409797","john","conyers","johnconyers","MI","House",13,"D","1/4/1965","1/3/2019","repjohnconyers",5,2538,0,0,1415,0.558,1,NA,NA,NA,8105,"Conyers, John",111,2009,"MI",14,1,1964,0,92,-0.614000022,15,0,0,2,1,2,1,0,44,15,12,7,4,2,0,0,0,0,1,0,8464,0,1,0,0,1,0,0,0.430000037,0.268000036,48,16,14,8,4,7.028338779,7.789942265,23,5.316403866,2,269,7
"3",10713,"C00409797","john","conyers","johnconyers","MI","House",13,"D","1/4/1965","1/3/2019","johnconyersjr",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8105,"Conyers, John",111,2009,"MI",14,1,1964,0,92,-0.614000022,15,0,0,2,1,2,1,0,44,15,12,7,4,2,0,0,0,0,1,0,8464,0,1,0,0,1,0,0,0.430000037,0.268000036,48,16,14,8,4,7.028338779,7.789942265,23,5.316403866,2,269,7
"4",13035,"C00302422","charles","rangel","charlesrangel","NY","House",13,"D","1/21/1971","1/3/2017","charlesbrangel",NA,NA,NA,NA,NA,NA,1,1,15,NA,8358,"Rangel, Charles",111,2009,"NY",15,1,1970,0,89,-0.432000011,29,0,0,6,1,6,5,5,22,0,8,8,8,5,1,1,1,1,1,0,7921,1,1,1,0.514999986,1,0,0,0.248000011,0.08600001,33,2,15,14,14,12.27721496,18.68638611,20,5.138355732,3,269,1
"5",13035,"C00302422","charles","rangel","charlesrangel","NY","House",13,"D","1/21/1971","1/3/2017","cbrangel",6,7147,0,1,NA,NA,1,1,15,NA,8358,"Rangel, Charles",111,2009,"NY",15,1,1970,0,89,-0.432000011,29,0,0,6,1,6,5,5,22,0,8,8,8,5,1,1,1,1,1,0,7921,1,1,1,0.514999986,1,0,0,0.248000011,0.08600001,33,2,15,14,14,12.27721496,18.68638611,20,5.138355732,3,269,1
"6",14053,"C00020974","fortney","stark","fortneystark","CA","House",13,"D","1/3/1973","1/3/2013","petestark",4,0,1,0,NA,NA,0,NA,NA,NA,8419,"Stark, Fortney",111,2009,"CA",13,1,1972,0,76,-0.707000017,53,0,1,0,0,0,0,0,12,0,1,1,0,0,0,0,0,0,0,0,5776,1,0,0,0,1,0,0,0.523000002,0.361000031,12,0,1,1,0,0.400557549,0.448578745,19,2.075905085,1,269,199
"7",14066,"C00012229","don","young","donyoung","AK","House",0,"R","1/3/1973","1/3/2019","repdonyoung",3,1359,1,1,NA,NA,1,NA,NA,NA,8467,"Young, Don",111,2009,"AK",1,0,1973,0,50,0.49000001,1,0,0,0,0,0,0,0,51,4,3,3,0,0,0,0,0,0,0,0,2500,0,0,1,0.319999993,0,0,0,0.674000025,0.836000025,51,4,3,3,0,1.873918143,3.585339546,19,1.231048346,3,182,5
"8",14066,"C00012229","don","young","donyoung","AK","House",0,"R","1/3/1973","1/3/2019","DonYoungAK",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8467,"Young, Don",111,2009,"AK",1,0,1973,0,50,0.49000001,1,0,0,0,0,0,0,0,51,4,3,3,0,0,0,0,0,0,0,0,2500,0,0,1,0.319999993,0,0,0,0.674000025,0.836000025,51,4,3,3,0,1.873918143,3.585339546,19,1.231048346,3,182,5
"9",14256,"C00026757","george","miller","georgemiller","CA","House",11,"D","1/14/1975","1/3/2015","askgeorge",4,2519,0,1,NA,NA,0,1,7,NA,8304,"Miller, George",111,2009,"CA",7,1,1974,0,73,-0.647000015,53,0,0,3,2,3,2,0,27,8,14,10,2,0,0,0,0,0,0,0,5329,0,1,0,0,1,1,0,0.463000029,0.301000029,30,10,17,12,2,6.51473532,10.63960552,18,5.019657135,2,269,9
"10",14280,"C00013128","henry","waxman","henrywaxman","CA","House",33,"D","1/14/1975","1/3/2015","WaxmanHenry",NA,NA,NA,NA,NA,NA,1,1,30,NA,8453,"Waxman, Henry",111,2009,"CA",30,1,1974,0,100,-0.465999991,53,0,0,3,3,3,2,1,8,5,5,2,0,2,0,0,0,0,0,0,10000,0,1,1,0.625999987,1,0,0,0.282000005,0.11999999,13,8,8,4,1,4.172420787,4.712117195,18,5.019657135,2,269,13
