"","icpsr","FECcommittee","first","last","fullname","state","chamber","district","party","start","end","twitter","fold","num.tweets","done.handle.no.file","missing","tweets.svd","prop.tweets","has.alt","multiple.dist","alt.dist","dup.account","ï..Numeric.counter.for.order.in.THOMAS.data.from.93rd...110th.Congresses","Legislator.name..as.given.in.THOMAS","Congress.number","Year.at.start.of.Congress","Two.letter.state.code","Congressional.district.number","X1...Democrat","Year.first.elected.to.House","X1...female","Percent.vote.received.to.enter.this.Congress","First.dimension.DW.NOMINATE.score","Size.of.House.delegation.from.member.s.state","X1..Speaker","X1...Chair.of.subcommittee..according.to.Almanac.of.American.Politics.and.Adler.W","Number.of.substantively.significant.bills.sponsored","Number.of.substantively.significant.bills.with.action.in.committee","Number.of.substantively.significant.bills.with.action.beyond.committee","Number.of.substantively.significant.bills.passed.House","Number.of.substantively.significant.bills.became.law","Number.of.substantive.bills.sponsored","Number.of.substantive.bills.with.action.in.committee","Number.of.substantive.bills.with.action.beyond.committee","Number.of.substantive.bills.passed.House","Number.of.substantive.bills.became.law","Number.of.commemorative.bills.sponsored","Number.of.commemorative.bills.with.action.in.committee","Number.of.commemorative.bills.with.action.beyond.committee","Number.of.commemorative.bills.passed.House","Number.of.commemorative.bills.became.law","X1...African.American","X1...Latino.a","votepct.squared","X1...Member.of.Appropriation..Rules..or.Ways.and.Means","X1...Chair..of.standing.committee.or.intellgence.homeland.sec.according.to.Stewar","X1...served.in.state.legislature","state_leg...state.legislature.professionalism","X1...majority.party.member","X1...Majority.party.leadership","X1...Minority.party.leadership","Absolute.distance.from.floor.median..DW.NOMINATE.","Absolute.distance.from.majority.party.median..DW.NOMINATE.","Total.bills.sponsored","Total.bills.with.action.in.committee","Total.bills.with.action.beyond.committee","Total.bills.passed.House","Total.bills.became.law","Legislative.Effectiveness.Score..1.5.10.","Lagged.LES","Seniority..number.of.terms.served.counting.current","benchmark","X1...Below..2...Meets..3...Exceeds","TotalInParty","RankInParty"
"1",10713,"C00409797","john","conyers","johnconyers","MI","House",13,"D","1/4/1965","1/3/2019","repjohnconyers",5,2538,0,0,1415,0.558,1,NA,NA,NA,9886,"Conyers, John",115,2017,"MI",13,1,1964,0,77,-0.657999992,14,0,0,0,0,0,0,0,21,1,1,1,1,0,0,0,0,0,1,0,5929,0,0,0,0,0,0,0,0.930499971,1.156000018,21,1,1,1,1,0.900359869,0.398233116,27,0.878448248,2,203,44
"2",10713,"C00409797","john","conyers","johnconyers","MI","House",13,"D","1/4/1965","1/3/2019","johnconyersjr",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9886,"Conyers, John",115,2017,"MI",13,1,1964,0,77,-0.657999992,14,0,0,0,0,0,0,0,21,1,1,1,1,0,0,0,0,0,1,0,5929,0,0,0,0,0,0,0,0.930499971,1.156000018,21,1,1,1,1,0.900359869,0.398233116,27,0.878448248,2,203,44
"3",14066,"C00012229","don","young","donyoung","AK","House",0,"R","1/3/1973","1/3/2019","repdonyoung",3,1359,1,1,NA,NA,1,NA,NA,NA,10253,"Young, Don",115,2017,"AK",1,0,1973,0,51,0.279000014,1,0,0,0,0,0,0,0,62,19,14,8,5,0,0,0,0,0,0,0,2601,0,0,1,0.319999993,1,0,0,0.006500014,0.218999982,62,19,14,8,5,5.935343266,2.977623701,23,1.412226558,3,245,1
"4",14066,"C00012229","don","young","donyoung","AK","House",0,"R","1/3/1973","1/3/2019","DonYoungAK",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10253,"Young, Don",115,2017,"AK",1,0,1973,0,51,0.279000014,1,0,0,0,0,0,0,0,62,19,14,8,5,0,0,0,0,0,0,0,2601,0,0,1,0.319999993,1,0,0,0.006500014,0.218999982,62,19,14,8,5,5.935343266,2.977623701,23,1.412226558,3,245,1
"5",14263,"C00499053","richard","nolan","richardnolan","MN","House",8,"D","1/14/1975","1/3/2019","usrepricknolan",5,2203,0,0,1678,0.762,1,NA,NA,NA,10103,"Nolan, Richard",115,2017,"MN",8,1,2012,0,50,-0.372000009,8,0,0,0,0,0,0,0,18,3,3,3,0,1,0,0,0,0,0,0,2500,0,0,1,0.210999995,0,0,0,0.644500017,0.870000005,19,3,3,3,0,0.939595103,0.957445562,3,0.537361205,3,203,40
"6",14263,"C00499053","richard","nolan","richardnolan","MN","House",8,"D","1/14/1975","1/3/2019","RickNolanMN",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10103,"Nolan, Richard",115,2017,"MN",8,1,2012,0,50,-0.372000009,8,0,0,0,0,0,0,0,18,3,3,3,0,1,0,0,0,0,0,0,2500,0,0,1,0.210999995,0,0,0,0.644500017,0.870000005,19,3,3,3,0,0.939595103,0.957445562,3,0.537361205,3,203,40
"7",14657,"C00083428","james","sensenbrenner","jamessensenbrenner","WI","House",5,"R","1/15/1979","1/3/2019","jimpressoffice",4,1017,0,1,NA,NA,0,NA,NA,NA,10180,"Sensenbrenner, F.",115,2017,"WI",5,0,1978,0,67,0.647000015,8,0,1,0,0,0,0,0,36,6,6,5,2,0,0,0,0,0,0,0,4489,0,0,1,0.43900001,1,0,0,0.374500006,0.149000019,36,6,6,5,2,2.586428642,3.940120459,20,1.584945321,3,245,27
"8",14854,"C00116632","harold","rogers","haroldrogers","KY","House",5,"R","1/5/1981","1/3/2019","rephalrogers",6,3095,0,1,NA,NA,0,NA,NA,NA,10145,"Rogers, Harold",115,2017,"KY",5,0,1980,0,100,0.333000004,6,0,1,2,0,2,0,0,4,2,2,1,0,0,0,0,0,0,0,0,10000,1,0,0,0,1,0,0,0.060500003,0.164999992,6,2,4,1,0,0.751664758,1.674385428,19,1.570733309,1,245,169
"9",14863,"C00096412","christopher","smith","christophersmith","NJ","House",4,"R","1/5/1981","1/3/2019","repchrissmith",2,962,0,0,825,0.858,0,NA,NA,NA,10194,"Smith, Christopher",115,2017,"NJ",4,0,1980,0,64,0.160999998,12,0,1,0,0,0,0,0,34,7,8,6,3,4,1,1,1,1,0,0,4096,0,0,0,0,1,0,0,0.111500002,0.337000012,38,8,9,7,4,3.409336567,4.97326088,19,1.570733309,3,245,12
"10",14873,"C00140715","steny","hoyer","stenyhoyer","MD","House",5,"D","1/5/1981","1/3/2019","StenyHoyer",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9991,"Hoyer, Steny",115,2017,"MD",5,1,1981,0,68,-0.379999995,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4624,0,0,1,0.203999996,0,0,1,0.652499974,0.878000021,5,0,0,0,0,0.061580755,0.013732176,19,0.764752567,1,203,190
