name,Chamber,Joined Congress,twitter,reelection,official
Doug Jones,Senate,01-03-18,DougJones,,
Doug Jones,Senate,01-03-18,sendougjones,,1
Richard Shelby,Senate,01-03-87,ShelbyForSenate,,
Richard Shelby,Senate,01-03-87,SenShelby,,1
Dan Sullivan,Senate,01-03-15,SenDanSullivan,,1
Lisa Murkowski,Senate,12/20/2002,LisaForSenate,,
Lisa Murkowski,Senate,12/20/2002,LisaMurkowski,,1
Kyrsten Sinema,Senate,01-03-19,kyrstensinema,,
Kyrsten Sinema,Senate,01-03-19,SenatorSinema,,1
Martha McSally,Senate,01-03-19,MarthaMcSally,,
Martha McSally,Senate,01-03-19,SenMcSallyAZ,,1
Tom Cotton,Senate,01-03-15,TomCottonAR,,
Tom Cotton,Senate,01-03-15,SenTomCotton,,1
John Boozman,Senate,01-03-11,Boozman4AR,,0
John Boozman,Senate,01-03-11,JohnBoozman,,1
Dianne Feinstein,Senate,11-04-92,DianneFeinstein,,
Dianne Feinstein,Senate,11-04-92,SenFeinstein,,1
Kamala Harris,Senate,01-03-17,kamalaharris,,
Kamala Harris,Senate,01-03-17,SenKamalaHarris,,1
Cory Gardner,Senate,01-03-15,CoryGardner,,
Cory Gardner,Senate,01-03-15,SenCoryGardner,,1
Michael Bennet,Senate,1/21/2009,BennetForCO,,0
Michael Bennet,Senate,1/21/2009,SenatorBennet,,1
Chris Murphy,Senate,01-03-13,SenMurphyOffice,,
Chris Murphy,Senate,01-03-13,ChrisMurphyCT,,1
Richard Blumenthal,Senate,01-03-11,DickBlumenthal,,0
Richard Blumenthal,Senate,01-03-11,SenBlumenthal,,1
Tom Carper,Senate,01-03-01,TomCarperforDE,,
Tom Carper,Senate,01-03-01,SenatorCarper,,1
Chris Coons,Senate,11/15/2010,sencoonsoffice,,0
Chris Coons,Senate,11/15/2010,ChrisCoons,,1
Rick Scott,Senate,01-08-19,ScottforFlorida,,
Rick Scott,Senate,01-08-19,SenRickScott,,1
Marco Rubio,Senate,01-03-11,marcorubio,,1
David Perdue,Senate,01-03-15,Perduesenate,,
David Perdue,Senate,01-03-15,sendavidperdue,,1
Johnny Isakson,Senate,01-03-05,JohnnyIsakson,,
Johnny Isakson,Senate,01-03-05,SenatorIsakson,,1
Mazie Hirono,Senate,01-03-13,mazieforhawaii,,
Mazie Hirono,Senate,01-03-13,MazieHirono,,1
Brian Schatz,Senate,12/26/2012,brianschatz,,
Brian Schatz,Senate,12/26/2012,SenBrianSchatz,,1
Jim Risch,Senate,01-03-09,JimRisch,,
Jim Risch,Senate,01-03-09,SenatorRisch,,1
Mike Crapo,Senate,01-03-99,crapo4senate,,
Mike Crapo,Senate,01-03-99,MikeCrapo,,1
Dick Durbin,Senate,01-03-15,DickDurbin,,
Dick Durbin,Senate,01-03-15,SenatorDurbin,,1
Tammy Duckworth,Senate,01-03-17,tammyduckworth,,
Tammy Duckworth,Senate,01-03-17,TammyforIL,,
