Name ,State,Party,twitter
"Adams, Alma",NC,D,AlmaforCongress
"Adams, Alma",NC,D,RepAdams
"Aderholt, Robert",AL,R,Robert_Aderholt
"Aguilar, Pete",CA,D,aguilarpete
"Aguilar, Pete",CA,D,AguilarCampaign
"Aguilar, Pete",CA,D,RepPeteAguilar
"Allen, Rick",GA,R,rickallen
"Allen, Rick",GA,R,RepRickAllen
"Allred, Colin",TX,D,RepColinAllred
"Allred, Colin",TX,D,ColinAllredTX
"Amodei, Mark",NV,R,AmodeiForNevada
"Amodei, Mark",NV,R,MarkAmodeiNV2
"Armstrong, Kelly",ND,R,Armstrong_ND
"Armstrong, Kelly",ND,R,RepArmstrongND
"Arrington, Jodey",TX,R,JodeyArrington
"Arrington, Jodey",TX,R,RepArrington
"Auchincloss, Jake",MA,D,JakeAuch
"Auchincloss, Jake",MA,D,RepAuchincloss
"Axne, Cindy",IA,D,Axne4Congress
"Axne, Cindy",IA,D,RepCindyAxne
"Babin, Brian",TX,R,Babin4Congress
"Babin, Brian",TX,R,RepBrianBabin
"Bacon, Don",NE,R,DonJBacon
"Bacon, Don",NE,R,RepDonBacon
"Baird, Jim",IN,R,ElectJimBaird
"Baird, Jim",IN,R,RepJimBaird
"Balderson, Troy",OH,R,Troy_Balderson
"Balderson, Troy",OH,R,RepBalderson
"Banks, Jim",IN,R,Jim_Banks
"Banks, Jim",IN,R,RepJimBanks
"Barr, Andy",KY,R,barrforcongress
"Barr, Andy",KY,R,RepAndyBarr
"Barragán, Nanette",CA,D,Nanette4CA
"Barragán, Nanette",CA,D,RepBarragan
"Bass, Karen",CA,D,KarenBassTweets
"Bass, Karen",CA,D,RepKarenBass
"Beatty, Joyce",OH,D,JoyceBeatty
"Beatty, Joyce",OH,D,RepBeatty
"Bentz, Cliff",OR,R,CliffBentz
"Bentz, Cliff",OR,R,RepBentz
"Bera, Ami",CA,D,BeraForCongress
"Bera, Ami",CA,D,RepBera
"Bergman, Jack",MI,R,JackBergman_MI1
"Bergman, Jack",MI,R,RepJackBergman
"Beyer, Don",VA,D,DonBeyerVA
"Beyer, Don",VA,D,RepDonBeyer
"Bice, Stephanie I.",OK,R,stephaniebice
"Bice, Stephanie I.",OK,R,RepBice
"Biggs, Andy",AZ,R,andybiggs4az
"Biggs, Andy",AZ,R,RepAndyBiggsAZ
