,screen_name,text,date,retweets,favorites,polarizing,chamber,party
113,GrahamBlog,Stopped by Charleston’s Emergency Response HQ to thank them for work they are doing to keep our citizens safe. http://t.co/iZ57fJsMQE,2015-10-05 16:51:00,20,20,0,Senate,R
6,RandPaul,RT @ThisWeekABC: .@GStephanopoulos goes one-on-one with Sen. @RandPaul to discuss the Senate Intel Committee’s subpoena of Donald Trump Jr.…,2019-05-12 11:54:00,41,0,0,Senate,R
83,repdonnaedwards,Enjoyed meeting with &amp; discussing issues with members of the @AJCGlobal yesterday while they were on the Hill. https://t.co/UTcnx5NeRd,2016-02-24 12:41:00,3,3,0,House,D
40,SenJackReed,"Enjoyed speaking w/ IUOE Local 57 members in #NewportRI about #jobs, workforce training &amp; #infrastructure investment. http://t.co/gJZBpBqPWc",2015-08-11 15:18:00,2,5,0,Senate,D
7,alcee4congress,"Last night, I introduced my good friend @HillaryClinton at a rally in Fort Lauderdale. https://t.co/vJP3h78Xjs",2016-11-02 13:18:00,0,2,0,House,D
109,chiproytx,"RT @Snoopy: ""That’s what Christmas is all about, Charlie Brown."" - Linus van Pelt #CharlieBrownChristmas https://t.co/6L3a9mkkmx",2018-12-21 04:31:00,848,0,0,House,
9,JohnSarbanes,Happy to say we have over 130 cosponsors of the Government #ByThePeople Act http://t.co/JKzdStKQsU,2014-02-14 00:45:00,1,1,0,,
137,SenBooker,"RT @StopBigMoney: ""Do we want corporations to drown out individuals' voices?""—Senator @CoryBooker 

No. 

#StopKavanaugh",2018-07-10 02:37:00,39,0,1,,
31,kevinomccarthy,@dsadlosky Thanks for the kind words.  We've got a lot of work still to do.,2009-02-12 03:44:00,0,0,0,House,R
0,RepRickLarsen,"RT @nytimes: Breaking News: A judge rejected key parts of President Trump’s push to make it easier to fire government workers, in a blow to…",2018-08-25 16:16:00,1023,0,1,House,D
102,RepDaveJoyce,RT @silveralertbill: Ohio @RepDaveJoyce joins Florida @RepMurphyFL in backing #SilverAlert Act. http://t.co/jiKmvZTim8,2014-09-24 15:32:00,1,1,0,House,R
41,RepArrington,RT @WaysandMeansGOP: #USMCANow 🇺🇸🇲🇽🇨🇦 https://t.co/OblcstR8WN,2019-10-28 19:40:00,37,0,0,House,R
66,JohnsonLeads,So who wants to make some phone calls? Get involved by DM or email cpalich@billjohnsonleads.com -- Thanks!!,2010-03-31 15:00:00,0,0,0,,
50,Malinowski,"RT @LisaMandelblatt: Young voters may swing the November elections. Here are ways for you to get involved. #nj07 @Malinowski 
https://t.co/…",2018-07-06 15:43:00,21,0,0,,
74,RepAndyBiggsAZ,"🚨 184 Members of Congress have now cosponsored my motion to condemn and censure Adam Schiff for misleading the American people.

🚨 A vote is expected in ONE HOUR.

Details: https://t.co/rKklyjwjdu",2019-10-21 21:26:00,1154,2705,1,,
38,aaronschock,"RT @Senate_GOPs: The 20,000 pages of #ObamaCare regulations are as tall as this American flag! http://t.co/E4lP3azj6R",2013-03-21 16:23:00,22,0,0,House,R
96,RandPaul,Now Obama wants another $1.15 billion dollar arms deal with Saudi Arabia because apparently his $100 billion in arms deals weren't enough.,2016-09-21 19:23:00,530,490,1,Senate,R
108,SteveScalise,"Drew Brees...

MVP
MVP
MVP
MVP
MVP
MVP

#BreesForMVP #DrewDat #GoSaints",2018-11-19 01:00:00,145,1253,0,House,R
91,chelliepingree,3 Maine airports land federal grants to improve runway safety https://t.co/IMKQT3vfTx #mepolitics,2016-03-22 19:04:00,4,6,0,House,D
37,DrLarryBucshon,RT @SecretaryLawson: TODAY is #ElectionDay!  Don't forget to get out and vote!  To find your polling place and review candidates on your ba…,2015-05-05 13:17:00,3,0,0,,
20,RepMikeRogers,"RT @DeptofDefense: Aug. 10, 1949, marks the official birthday of the Defense Department, which unified the military under the secretary of…",2019-08-10 12:31:00,804,0,0,House,R
75,SenPatRoberts,RT @SenateAgGOP: It's #NationalLasagnaDay! We're celebrating tomato growers who produce more food with less resources. #thankafarmer https:…,2016-07-29 18:01:00,6,0,0,Senate,R
69,JerryMoran,"This week, I enjoyed visiting w/ Kansas' @NatlYoungLeader delegates who stopped by my office during their time in DC. http://t.co/gJc3ECmReW",2014-06-20 19:33:00,1,2,0,Senate,R
