icpsr,first,last,fullname,state,chamber,district,party,start,end,twitter,fold,num.tweets,done.handle.no.file,missing,tweets.svd,prop.tweets,has.alt
NA,ralph,abraham,ralphabraham,LA,House,5,R,01/06/2015,01/03/2019,repabraham,1,306,0,0,253,0.827,1
NA,ralph,abraham,ralphabraham,LA,House,5,R,01/06/2015,01/03/2019,abraham_ralph,,,,,,,1
15000,gary,ackerman,garyackerman,NY,House,NA,D,01/03/1983,01/03/2013,repgaryackerman,5,281,0,0,255,0.907,0
NA,alma,adams,almaadams,NC,House,12,D,11/12/2014,01/03/2019,repadams,0,2626,0,0,1838,0.7,1
NA,alma,adams,almaadams,NC,House,12,D,11/12/2014,01/03/2019,AlmaforCongress,,,,,,,1
21120,sandy,adams,sandyadams,FL,House,NA,R,01/05/2011,01/03/2013,repsandyadams,2,304,0,0,279,0.918,0
29701,robert,aderholt,robertaderholt,AL,House,4,R,01/07/1997,01/03/2019,robert_aderholt,5,1270,0,0,1126,0.887,0
NA,pete,aguilar,peteaguilar,CA,House,31,D,01/06/2015,01/03/2019,aguilarpete,0,722,0,0,52,0.072,1
NA,pete,aguilar,peteaguilar,CA,House,31,D,01/06/2015,01/03/2019,AguilarCampaign,,,,,,,1
NA,pete,aguilar,peteaguilar,CA,House,31,D,01/06/2015,01/03/2019,reppeteaguilar,2,978,0,0,777,0.794,1
14400,daniel,akaka,danielakaka,HI,Senate,NA,D,01/04/1977,01/03/2013,senatorakaka,0,388,0,0,322,0.83,0
20123,todd,akin,toddakin,MO,House,NA,R,01/03/2001,01/03/2013,toddakin,6,812,0,0,769,0.947,1
20123,todd,akin,toddakin,MO,House,NA,R,01/03/2001,01/03/2013,REPTODDAKlN,,,,,,,1
40304,lamar,alexander,lamaralexander,TN,Senate,NA,R,01/07/2003,01/03/2021,senalexander,7,3434,0,0,2456,0.715,1
40304,lamar,alexander,lamaralexander,TN,Senate,NA,R,01/07/2003,01/03/2021,LamarAlexander,,,,,,,1
NA,rick,allen,rickallen,GA,House,12,R,01/06/2015,01/03/2019,reprickallen,5,804,0,0,694,0.863,1
NA,rick,allen,rickallen,GA,House,12,R,01/06/2015,01/03/2019,rickallen,,,,,,,1
20743,jason,altmire,jasonaltmire,PA,House,NA,D,01/04/2007,01/03/2013,jasonaltmire,7,3532,0,1,NA,NA,0
21143,justin,amash,justinamash,MI,House,3,R,01/05/2011,01/03/2019,justinamash,0,13701,0,1,NA,NA,1
21143,justin,amash,justinamash,MI,House,3,R,01/05/2011,01/03/2019,teamamash,,,,,,,1
21143,justin,amash,justinamash,MI,House,3,R,01/05/2011,01/03/2019,amashoffice,,,,,,,1
21196,mark,amodei,markamodei,NV,House,2,R,9/13/2011,01/03/2019,markamodeinv2,5,1132,0,0,793,0.701,1
21196,mark,amodei,markamodei,NV,House,2,R,9/13/2011,01/03/2019,AmodeiForNevada,,,,,,,1
NA,jodey,arrington,jodeyarrington,TX,House,19,R,01/03/2017,01/03/2019,reparrington,4,208,0,0,104,0.5,1
,jodey,arrington,jodeyarrington,TX,House,19,R,01/03/2017,01/03/2019,JodeyArrington,,,,,,,1
NA,brad,ashford,bradashford,NE,House,NA,D,01/06/2015,01/03/2017,repbradashford,6,3660,0,0,3091,0.845,1
NA,brad,ashford,bradashford,NE,House,NA,D,01/06/2015,01/03/2017,BradAshford18,,,,,,,1
20940,steve,austria,steveaustria,OH,House,NA,R,01/06/2009,01/03/2013,steveaustria,2,358,0,0,264,0.737,0
41106,kelly,ayotte,kellyayotte,NH,Senate,NA,R,01/05/2011,01/03/2017,kellyayotte,7,9594,0,0,8494,0.885,1
