FECcommittee,icpsr,first,last,fullname,state,chamber,district,party,start,end,twitter,fold,num.tweets,done.handle.no.file,missing,tweets.svd,prop.tweets,has.alt,multiple.dist,alt.dist,dup.account,Official
C00563940,21522,ralph,abraham,ralphabraham,LA,House,5,R,1/6/2015,1/3/2019,repabraham,1,306,0,0,253,0.827,1,,,,1
C00563941,21522,ralph,abraham,ralphabraham,LA,House,5,R,1/6/2015,1/3/2019,abraham_ralph,,,,,,,1,,,,0
C00165241,15000,gary,ackerman,garyackerman,NY,House,5,D,1/3/1983,1/3/2013,repgaryackerman,5,281,0,0,255,0.907,0,,,,1
C00546358,21545,alma,adams,almaadams,NC,House,12,D,11/12/2014,1/3/2019,repadams,0,2626,0,0,1838,0.7,1,,,,1
C00546358,21545,alma,adams,almaadams,NC,House,12,D,11/12/2014,1/3/2019,AlmaforCongress,,,,,,,1,,,,0
C00463877,21120,sandy,adams,sandyadams,FL,House,24,R,1/5/2011,1/3/2013,repsandyadams,2,304,0,0,279,0.918,0,,,,1
C00313247,29701,robert,aderholt,robertaderholt,AL,House,4,R,1/7/1997,1/3/2019,robert_aderholt,5,1270,0,0,1126,0.887,0,,,,0
C00510461,21506,pete,aguilar,peteaguilar,CA,House,31,D,1/6/2015,1/3/2019,aguilarpete,0,722,0,0,52,0.072,1,,,,0
C00510461,21506,pete,aguilar,peteaguilar,CA,House,31,D,1/6/2015,1/3/2019,AguilarCampaign,,,,,,,1,,,,0
C00510461,21506,pete,aguilar,peteaguilar,CA,House,31,D,1/6/2015,1/3/2019,reppeteaguilar,2,978,0,0,777,0.794,1,,,,1
C00054528,14400,daniel,akaka,danielakaka,HI,Senate,NA,D,1/4/1977,1/3/2013,senatorakaka,0,388,0,0,322,0.83,0,,,,1
C00343475,20123,todd,akin,toddakin,MO,House,2,R,1/3/2001,1/3/2013,toddakin,6,812,0,0,769,0.947,1,,,,0
C00343475,20123,todd,akin,toddakin,MO,House,2,R,1/3/2001,1/3/2013,REPTODDAKlN,,,,,,,1,,,,1
C00383745,40304,lamar,alexander,lamaralexander,TN,Senate,NA,R,1/7/2003,1/3/2021,senalexander,7,3434,0,0,2456,0.715,1,,,,1
C00383745,40304,lamar,alexander,lamaralexander,TN,Senate,NA,R,1/7/2003,1/3/2021,LamarAlexander,,,,,,,1,,,,0
C00506790,21516,rick,allen,rickallen,GA,House,12,R,1/6/2015,1/3/2019,reprickallen,5,804,0,0,694,0.863,1,,,,1
C00506790,21516,rick,allen,rickallen,GA,House,12,R,1/6/2015,1/3/2019,rickallen,,,,,,,1,,,,0
C00637868,21900,colin,allred,colinallred,TX,House,32,,,,ColinAllredTX,,,,,,,1,,,,0
C00637868,21900,colin,allred,colinallred,TX,House,32,,,,RepColinAllred,,,,,,,1,,,,1
C00413310,20743,jason,altmire,jasonaltmire,PA,House,4,D,1/4/2007,1/3/2013,jasonaltmire,7,3532,0,1,NA,NA,0,,,,0
C00476291,21143,justin,amash,justinamash,MI,House,3,R,1/5/2011,1/3/2019,justinamash,0,13701,0,1,NA,NA,1,,,,0
C00476291,21143,justin,amash,justinamash,MI,House,3,R,1/5/2011,1/3/2019,teamamash,,,,,,,1,,,,0
C00476291,21143,justin,amash,justinamash,MI,House,3,R,1/5/2011,1/3/2019,amashoffice,,,,,,,1,,,,0
C00496760,21196,mark,amodei,markamodei,NV,House,2,R,9/13/2011,1/3/2019,markamodeinv2,5,1132,0,0,793,0.701,1,,,,0
C00496760,21196,mark,amodei,markamodei,NV,House,2,R,9/13/2011,1/3/2019,AmodeiForNevada,,,,,,,1,,,,0
C00670547,21901,kelly,armstrong,kellyarmstrong,ND,House,1,,,,Armstrong_ND,,,,,,,1,,,,0
C00670547,21901,kelly,armstrong,kellyarmstrong,ND,House,1,,,,RepArmstrongND,,,,,,,1,,,,1
C00588657,21700,jodey,arrington,jodeyarrington,TX,House,19,R,1/3/2017,1/3/2019,reparrington,4,208,0,0,104,0.5,1,,,,1
C00588657,21700,jodey,arrington,jodeyarrington,TX,House,19,R,1/3/2017,1/3/2019,JodeyArrington,,,,,,,1,,,,0
C00557181,21533,brad,ashford,bradashford,NE,House,2,D,1/6/2015,1/3/2017,repbradashford,6,3660,0,0,3091,0.845,1,,,,1
C00557181,21533,brad,ashford,bradashford,NE,House,2,D,1/6/2015,1/3/2017,BradAshford18,,,,,,,1,,,,0
C00440115,20940,steve,austria,steveaustria,OH,House,7,R,1/6/2009,1/3/2013,steveaustria,2,358,0,0,264,0.737,0,,,,0
C00646844,21902,Cindy,Axne,cindyaxne,IA,House,3,,,,RepCindyAxne,,,,,,,1,,,,1
C00646844,21902,Cindy,Axne,cindyaxne,IA,House,3,,,,Axne4Congress,,,,,,,1,,,,0
C00464297,41106,kelly,ayotte,kellyayotte,NH,Senate,NA,R,1/5/2011,1/3/2017,kellyayotte,7,9594,0,0,8494,0.885,1,,,,0
C00464297,41106,kelly,ayotte,kellyayotte,NH,Senate,NA,R,1/5/2011,1/3/2017,AyotteNH,,,,,,,1,,,,0
C00553859,,brian,babin,brianbabin,TX,House,36,R,,,Babin4Congress,,,,,,,,,,,
C00553859,21551,brian,babin,brianbabin,TX,House,36,R,1/6/2015,1/3/2019,repbrianbabin,3,1675,0,0,1183,0.706,0,,,,1
C00325449,29942,joe,baca,joebaca,CA,House,43,D,11/6/1999,1/3/2013,repjoebaca,2,622,0,0,546,0.878,0,,,,1
C00410118,20728,michele,bachmann,michelebachmann,MN,House,6,R,1/4/2007,1/3/2015,michelebachmann,4,4283,0,0,2466,0.576,1,,,,0
C00410118,20728,michele,bachmann,michelebachmann,MN,House,6,R,1/4/2007,1/3/2015,TeamBachmann,,,,,,,1,,,,0
C00260547,29301,spencer,bachus,spencerbachus,AL,House,6,R,1/5/1993,1/3/2015,bachusal06,1,532,0,0,485,0.912,0,,,,0
C00575167,21701,don,bacon,donbacon,NE,House,2,R,1/3/2017,1/3/2019,repdonbacon,3,317,0,0,188,0.593,1,,,,1
C00575167,21701,don,bacon,donbacon,NE,House,2,R,1/3/2017,1/3/2019,DonJBacon,,,,,,,1,,,,0
C00662940,,Jim,Baird,jimbaird,IN,House,4,R,,,ElectJimBaird,,,,,,,,,,,
C00662940,21903,Jim,Baird,jimbaird,IN,House,4,R,,,RepJimBaird,,,,,,,0,,,,1
C00326801,29940,tammy,baldwin,tammybaldwin,WI,Senate,NA,D,1/6/1999,1/3/2019,senatorbaldwin,3,9454,0,0,7431,0.786,1,,,,1
C00326801,29940,tammy,baldwin,tammybaldwin,WI,Senate,NA,D,1/6/1999,1/3/2019,tammybaldwin,,,,,,,1,,,,0
C00577999,21702,jim,banks,jimbanks,IN,House,3,R,1/3/2017,1/3/2019,repjimbanks,4,333,0,0,237,0.712,1,,,,1
C00577999,21702,jim,banks,jimbanks,IN,House,3,R,1/3/2017,1/3/2019,Jim_Banks,,,,,,,1,,,,0
C00512129,21199,ron,barber,ronbarber,AZ,House,2,D,6/12/2012,1/3/2015,repronbarber,2,1914,0,0,1640,0.857,1,,,,1
C00512129,21199,ron,barber,ronbarber,AZ,House,2,D,6/12/2012,1/3/2015,RonBarberAZ,,,,,,,1,,,,0
C00376004,21171,lou,barletta,loubarletta,PA,House,11,R,1/5/2011,1/3/2019,reploubarletta,3,1850,0,0,1614,0.872,1,,,,1
C00376004,21171,lou,barletta,loubarletta,PA,House,11,R,1/5/2011,1/3/2019,louforsenate,,,,,,,1,,,,0
C00467571,21333,garland,barr,garlandbarr,KY,House,6,R,1/3/2013,1/3/2019,repandybarr,3,2435,0,0,1830,0.752,1,,,,1
C00467571,21333,garland,barr,garlandbarr,KY,House,6,R,1/3/2013,1/3/2019,barrforcongress,,,,,,,1,,,,0
C00577353,21703,nanette,barragan,nanettebarragan,CA,House,44,D,1/3/2017,1/3/2019,repbarragan,4,683,0,0,398,0.583,1,,,,1
C00577353,21703,nanette,barragan,nanettebarragan,CA,House,44,D,1/3/2017,1/3/2019,Nanette4CA,,,,,,,1,,,,0
C00436386,40707,john,barrasso,johnbarrasso,WY,Senate,NA,R,6/25/2007,1/3/2019,senjohnbarrasso,3,3409,0,0,2364,0.693,1,,,,1
C00436386,40707,john,barrasso,johnbarrasso,WY,Senate,NA,R,6/25/2007,1/3/2019,barrassoforwyo,,,,,,,1,,,,0
C00384735,20507,john,barrow,johnbarrow,GA,House,12,D,1/4/2005,1/3/2015,barrow4ga,0,293,0,0,260,0.887,0,,,,0
C00255190,29356,roscoe,bartlett,roscoebartlett,MD,House,6,R,1/5/1993,1/3/2013,roscoe_bartlett,4,192,0,0,173,0.901,0,,,,0
C00195065,15085,joe,barton,joebarton,TX,House,6,R,1/3/1985,1/3/2019,repjoebarton,2,1942,1,0,1567,0.807,0,,,,1
C00302570,29538,charles,bass,charlesbass,NH,House,2,R,1/4/1995,1/3/2013,repcharlesbass,0,1601,0,1,NA,NA,0,,,,1
C00476523,21110,karen,bass,karenbass,CA,House,37,D,1/5/2011,1/3/2019,repkarenbass,6,3463,0,0,2954,0.853,1,,,,1
C00476523,21110,karen,bass,karenbass,CA,House,37,D,1/5/2011,1/3/2019,KarenBassTweets,,,,,,,1,,,,0
C00328211,14203,max,baucus,maxbaucus,MT,Senate,NA,D,1/14/1975,2/6/2014,maxbaucus,6,234,0,0,231,0.987,0,,,,0
C00306860,49901,evan,bayh,evanbayh,IN,Senate,NA,D,1/6/1999,1/3/2011,evanbayh,3,619,1,1,NA,NA,1,,,,0
C00306860,49901,evan,bayh,evanbayh,IN,Senate,NA,D,1/6/1999,1/3/2011,senevanbayh,6,207,0,0,37,0.179,1,,,,1
