screen_name,tweet_id,date,date_collected,text,retweets,favorites,retweeted,divisive,id,name
RepDennisRoss,5.66E+16,4/9/2011 4:11,12/9/2018 13:59,@Mark_Flanagan @billlandes Amen Mark.,0,0,FALSE,0,RepDennisRoss5.66e+164/9/2011 4:11,leela
SpeakerRyan,1.05E+18,10/17/2018 19:53,11/30/2018 5:42,<U+2705> Biggest pay raise for our troops in 9 years.<U+2705> A fully funded Pentagon.<U+2705> Unprecedented resources to bolster military readiness.<U+2705> Reforms ensuring our veterans have access to quality care. https://t.co/7MjVOTlL5f,423,1697,FALSE,0,SpeakerRyan1.05e+1810/17/2018 19:53,leela
RepRoKhanna,1.04E+18,9/18/2018 19:51,12/9/2018 14:44,RT @RandPaul: The Constitution demands we vote BEFORE we go to war. Our involvement in the Yemeni civil war should stop now. https://t.co/D…,2423,0,FALSE,0,RepRoKhanna1.04e+189/18/2018 19:51,leela
TeamSheaPorter,1.01E+18,6/18/2018 3:12,11/30/2018 6:28,RT @KatyTurNBC: Children in cages. Children sleeping on floors. https://t.co/W6qcFrDZF0,2649,0,FALSE,99,TeamSheaPorter1.01e+186/18/2018 3:12,leela
michaelcburgess,3455737746,8/21/2009 18:53,12/9/2018 13:31,"A link to President Obama's """"""""go over the bill line by line"""""""" offer.
http://bit.ly/3Efbxt",0,0,FALSE,1,michaelcburgess34557377468/21/2009 18:53,leela
RepKihuen,8.22E+17,1/20/2017 13:14,11/30/2018 0:11,RT @AleOrtizChagin: Esta mañana entrevisté al congresista de Estados Unidos @rubenkihuen Mientras cerca de 60… https://t.co/AygyCPfhAo,1,0,FALSE,0,RepKihuen8.22e+171/20/2017 13:14,leela
cbrangel,2.40E+17,8/27/2012 15:03,12/9/2018 12:39,"Since 2011, 176 restrictive voting bills have been proposed in 41 states, &amp; some have become law in 14 states. Be #VoteReady today.",11,1,FALSE,0,cbrangel2.4e+178/27/2012 15:03,leela
SenSherrodBrown,9.74E+17,3/14/2018 22:54,12/9/2018 15:36,We missed an opportunity to pass meaningful bipartisan legislation that would help community banks and provide real… https://t.co/GqKR7mw9V0,264,498,FALSE,0,SenSherrodBrown9.74e+173/14/2018 22:54,leela
DonnaFEdwards,8.26E+17,1/29/2017 2:41,12/6/2018 12:12,Right. This is where the fight really begins. https://t.co/qWgBkLFoKH,10,13,FALSE,0,DonnaFEdwards8.26e+171/29/2017 2:41,leela
RepHankJohnson,9.96E+17,5/13/2018 14:19,11/29/2018 23:40,"This #MothersDay, I can’t imagine the horror of being a child forcibly separated from my mother by the government. Immigrant mothers simply seek a better life for their children. We must stop inhumane family separation NOW. https://t.co/JWUkVCbwWz",24,52,FALSE,1,RepHankJohnson9.96e+175/13/2018 14:19,leela
justinamash,8.16E+17,1/3/2017 23:02,11/29/2018 12:11,"RT @CraigCaplan: 3 Republicans voted NO on House rules for 115th Congress:
@justinamash-MI
@RepWalterJones-NC
@RepThomasMassie-KY
https://t…",66,0,FALSE,0,justinamash8.16e+171/3/2017 23:02,leela
SteveWorks4You,9.41E+17,12/13/2017 18:16,12/9/2018 15:47,RT @TomFitton: Devastating. @TGowdySC refers to @JudicialWatch's find of top deputy Andrew Weissman's sending an email to Obama holdover an…,869,0,FALSE,99,SteveWorks4You9.41e+1712/13/2017 18:16,leela
SenTedCruz,9.26E+17,11/2/2017 18:02,12/9/2018 15:36,"I strongly urge the @StateDept to relist North Korea, and to meet this challenge with the resolve it has long deman… https://t.co/rgdHqyafGy",125,365,FALSE,0,SenTedCruz9.26e+1711/2/2017 18:02,leela
bradwenstrup,3.85E+17,10/1/2013 3:16,11/29/2018 2:20,RT if you oppose the Obamacare Special Pass for Congress http://t.co/ORnSBtqCyG,7,0,FALSE,1,bradwenstrup3.85e+1710/1/2013 3:16,leela
NanHayworth,1.05E+18,9/30/2018 4:31,11/29/2018 22:12,"@Chascabass @SpeakTruth911 1) I wouldn't call Ben Carson an """"""""elite."""""""" Ditto for Secretary of Labor Acosta, son of Cuban immigrants. The President keeps close counsel w/several black pastors. I'd add that a given person's growing up in privileged circumstances doesn't automatically render them insensitive.",0,0,FALSE,0,NanHayworth1.05e+189/30/2018 4:31,leela
MiaBLove,1.52E+17,12/28/2011 23:38,11/28/2018 20:47,@UtahDelegate I would never do that. Thanks.,0,0,FALSE,0,MiaBLove1.52e+1712/28/2011 23:38,leela
bradyfortexas,7.88E+17,10/17/2016 17:22,11/28/2018 13:43,Irony is an organization that takes life celebrating it’s “birthday”. We must continue our fight to protect the unborn. #100YearsOfAbuse https://t.co/AVplRFXBVI,1,1,FALSE,1,bradyfortexas7.88e+1710/17/2016 17:22,leela
SenatorCarper,2.54E+17,10/4/2012 19:40,12/6/2018 13:49,"In @thehill, Rep. Cummings @OversightDems &amp; I discuss need 4 House GOP 2 pass critical Postal reform bill http://t.co/71TUXMl4 #PriorityFail",4,0,FALSE,0,SenatorCarper2.54e+1710/4/2012 19:40,leela
janschakowsky,1.25E+17,10/14/2011 1:00,12/6/2018 12:17,@Marathonpundit My comm is investigating Solyndra & I support that. But dont throw the baby out w/ the bath water. We need loans 4 grn jobs,1,0,FALSE,0,janschakowsky1.25e+1710/14/2011 1:00,leela
