handle,count,start_date,protected
RepAbraham,1237,2015-01-05 23:01:54,False
RepGaryAckerman,281,2009-11-23 20:11:19,False
RepAdams,8695,2014-12-11 19:54:07,False
AlmaforCongress,1798,2013-07-21 00:27:32,False
RepSandyAdams,303,2010-11-30 18:01:59,False
Robert_Aderholt,2202,2009-09-22 21:16:37,False
aguilarpete,735,2009-05-21 05:04:40,False
AguilarCampaign,209,2016-08-24 16:45:10,False
RepPeteAguilar,1887,2015-02-04 21:01:23,False
SenatorAkaka,387,2011-05-31 21:57:41,False
ToddAkin,808,2011-05-17 23:53:33,False
REPTODDAKlN,11,2012-08-21 20:02:38,False
SenAlexander,8038,2009-09-23 13:58:50,False
LamarAlexander,765,2009-02-23 17:03:33,False
RepRickAllen,2036,2015-01-06 14:45:18,False
rickallen,1440,2011-10-04 22:05:54,False
jasonaltmire,4598,2011-03-04 18:41:16,False
justinamash,17499,2011-01-04 07:09:11,False
teamamash,372,2015-07-05 02:24:01,False
amashoffice,1245,2016-09-10 22:51:32,False
MarkAmodeiNV2,1293,2011-11-01 13:43:55,False
AmodeiForNevada,123,2009-10-27 23:18:32,False
RepArrington,2539,2017-01-03 14:06:44,False
JodeyArrington,670,2015-09-18 21:38:09,False
RepBradAshford,3605,2015-01-06 15:51:29,False
BradAshford18,9795,2009-03-15 14:54:46,False
SteveAustria,357,2009-02-13 19:11:37,True
KellyAyotte,9711,2010-12-22 20:20:15,False
AyotteNH,299,2009-07-21 18:56:30,False
RepBrianBabin,3383,2014-12-18 13:28:53,False
RepJoeBaca,622,2009-05-15 16:38:15,False
MicheleBachmann,4270,2008-12-18 16:10:29,False
TeamBachmann,2093,2008-09-25 03:31:50,False
BachusAL06,532,2009-09-29 22:15:34,False
RepDonBacon,8475,2017-01-11 00:17:40,False
DonJBacon,3405,2015-03-24 01:23:30,False
SenatorBaldwin,14596,2013-01-09 18:29:44,False
tammybaldwin,4861,2009-11-04 19:20:25,False
RepJimBanks,6101,2017-01-03 03:57:24,False
Jim_Banks,9453,2008-05-19 18:42:34,False
RepRonBarber,1911,2012-06-19 00:10:53,False
RonBarberAZ,1234,2012-02-08 19:49:43,False
RepLouBarletta,3075,2011-01-18 16:37:10,False
RepAndyBarr,4276,2013-01-14 15:29:49,False
barrforcongress,1370,2010-02-17 22:04:29,False
RepBarragan,5035,2017-01-05 02:29:18,False
Nanette4CA,4133,2011-05-23 06:38:33,False
SenJohnBarrasso,4842,2010-10-13 14:49:08,False
barrassoforwyo,318,2012-02-21 23:24:33,False
Roscoe_Bartlett,192,2011-12-06 21:07:38,False
RepJoeBarton,2082,2009-02-02 20:30:20,False
RepCharlesBass,1590,2011-01-07 20:35:49,False
