,date,total,total_p,house,house_p,senate,senate_p,dems,dems_p,gop,gop_p,total_r,dems_r,gop_r,house_r,senate_r
0,2012-01-01,3094,491,2243,372,851,119,1378,162,1658,324,0.15869424692954104,0.11756168359941944,0.195416164053076,0.16584930896121267,0.1398354876615746
1,2012-01-08,4246,484,3053,381,1193,103,1834,139,2330,336,0.11398963730569948,0.0757906215921483,0.14420600858369098,0.12479528332787422,0.08633696563285834
2,2012-01-15,5164,962,3850,790,1314,172,2288,239,2787,709,0.18628969790859798,0.10445804195804195,0.25439540724793686,0.2051948051948052,0.1308980213089802
3,2012-01-22,6852,1092,5152,874,1700,218,2980,282,3752,798,0.159369527145359,0.09463087248322148,0.2126865671641791,0.16964285714285715,0.12823529411764706
4,2012-01-29,5779,978,4247,765,1532,213,2555,293,3104,660,0.16923343138951374,0.11467710371819961,0.21262886597938144,0.18012714857546502,0.13903394255874674
5,2012-02-05,5541,948,4087,711,1454,237,2428,325,3026,609,0.17108825121819166,0.13385502471169686,0.20125578321216128,0.17396623440176168,0.16299862448418156
6,2012-02-12,5923,1286,4349,950,1574,336,2554,365,3267,909,0.2171197028532838,0.14291307752545027,0.27823691460055094,0.21844102092435042,0.21346886912325286
7,2012-02-19,4471,539,3287,459,1184,80,2065,194,2303,335,0.12055468575262805,0.09394673123486683,0.14546244029526703,0.13964101003954973,0.06756756756756757
8,2012-02-26,5819,937,4250,693,1569,244,2628,396,3093,530,0.1610242309675202,0.1506849315068493,0.1713546718396379,0.16305882352941176,0.15551306564690887
9,2012-03-04,6229,717,4569,535,1660,182,2843,254,3246,448,0.11510675870926312,0.08934224410833626,0.13801601971657423,0.11709345589844605,0.10963855421686747
10,2012-03-11,5274,678,3807,511,1467,167,2457,213,2709,456,0.1285551763367463,0.08669108669108669,0.16832779623477298,0.13422642500656684,0.1138377641445126
